feature,importance
density_alcohol,0.0633047459302865
sulphates_alcohol,0.06241268671713215
alcohol,0.04813136838353726
alcohol_squared,0.04746636709775011
alcohol_cubed,0.046912270991095247
chlorides_sulphates_ratio,0.0386804475593576
sulphates_squared,0.037190592867303994
sulphates,0.03389873202823799
volatile_fixed_ratio,0.028679456426142533
alcohol_acidity,0.0278959703860642
bound_so2,0.027712541406760594
so2_intensity,0.026738171734283646
total sulfur dioxide,0.026041250745538386
log_total_sulfur,0.025713068838617244
free_so2_ratio,0.025634877257288715
volatile_squared,0.025494300290180794
volatile acidity,0.02375381918247597
pH,0.021307876041065196
alcohol_volatile,0.020653880365228163
acidity_balance,0.01990783743932776
acid_sugar_balance,0.019563180717754165
chlorides,0.019405994447149542
density,0.019305334044587702
density_squared,0.019297367401826145
citric_fixed_ratio,0.019295205752177434
total_acidity,0.019243538689107532
quality_score,0.018512024510034825
log_chlorides,0.018269579464314744
sugar_alcohol_ratio,0.01826617000705738
alcohol_sugar,0.018250398339450507
high_alcohol,0.01799351849518104
acidity_to_ph,0.017399060768345808
free sulfur dioxide,0.017346481823361085
citric acid,0.017088169859646198
log_free_sulfur,0.015712164466552235
fixed acidity,0.015379750256374261
log_residual_sugar,0.01288016193300788
residual sugar,0.012114100184031912
low_volatile,0.004307533030655126
optimal_ph,0.002840004121710561
